method,group_id,file_path,group_size,distinct_classes,distinct_splits,reason_codes,group_members
knee_identity,knee:9001400_L,kaggle/auto_test/1/9001400_2.png,2,1,"auto_test,test",SAME_KNEE_MULTIPLE_FOLDERS|SPLIT_LEAKAGE_CANDIDATE,kaggle/auto_test/1/9001400_2.png[1/auto_test] ; kaggle/test/1/9001400L.png[1/test]
knee_identity,knee:9001400_L,kaggle/test/1/9001400L.png,2,1,"auto_test,test",SAME_KNEE_MULTIPLE_FOLDERS|SPLIT_LEAKAGE_CANDIDATE,kaggle/auto_test/1/9001400_2.png[1/auto_test] ; kaggle/test/1/9001400L.png[1/test]
knee_identity,knee:9001400_R,kaggle/auto_test/1/9001400_1.png,2,1,"auto_test,test",SAME_KNEE_MULTIPLE_FOLDERS|SPLIT_LEAKAGE_CANDIDATE,kaggle/auto_test/1/9001400_1.png[1/auto_test] ; kaggle/test/1/9001400R.png[1/test]
knee_identity,knee:9001400_R,kaggle/test/1/9001400R.png,2,1,"auto_test,test",SAME_KNEE_MULTIPLE_FOLDERS|SPLIT_LEAKAGE_CANDIDATE,kaggle/auto_test/1/9001400_1.png[1/auto_test] ; kaggle/test/1/9001400R.png[1/test]
knee_identity,knee:9003175_L,kaggle/auto_test/0/9003175_2.png,2,0,"auto_test,test",SAME_KNEE_MULTIPLE_FOLDERS|SPLIT_LEAKAGE_CANDIDATE,kaggle/auto_test/0/9003175_2.png[0/auto_test] ; kaggle/test/0/9003175L.png[0/test]
knee_identity,knee:9003175_L,kaggle/test/0/9003175L.png,2,0,"auto_test,test",SAME_KNEE_MULTIPLE_FOLDERS|SPLIT_LEAKAGE_CANDIDATE,kaggle/auto_test/0/9003175_2.png[0/auto_test] ; kaggle/test/0/9003175L.png[0/test]
knee_identity,knee:9003175_R,kaggle/auto_test/0/9003175_1.png,2,0,"auto_test,test",SAME_KNEE_MULTIPLE_FOLDERS|SPLIT_LEAKAGE_CANDIDATE,kaggle/auto_test/0/9003175_1.png[0/auto_test] ; kaggle/test/0/9003175R.png[0/test]
knee_identity,knee:9003175_R,kaggle/test/0/9003175R.png,2,0,"auto_test,test",SAME_KNEE_MULTIPLE_FOLDERS|SPLIT_LEAKAGE_CANDIDATE,kaggle/auto_test/0/9003175_1.png[0/auto_test] ; kaggle/test/0/9003175R.png[0/test]
knee_identity,knee:9003316_L,kaggle/auto_test/0/9003316_2.png,2,0,"auto_test,test",SAME_KNEE_MULTIPLE_FOLDERS|SPLIT_LEAKAGE_CANDIDATE,kaggle/auto_test/0/9003316_2.png[0/auto_test] ; kaggle/test/0/9003316L.png[0/test]
knee_identity,knee:9003316_L,kaggle/test/0/9003316L.png,2,0,"auto_test,test",SAME_KNEE_MULTIPLE_FOLDERS|SPLIT_LEAKAGE_CANDIDATE,kaggle/auto_test/0/9003316_2.png[0/auto_test] ; kaggle/test/0/9003316L.png[0/test]
knee_identity,knee:9003316_R,kaggle/auto_test/2/9003316_1.png,2,2,"auto_test,test",SAME_KNEE_MULTIPLE_FOLDERS|SPLIT_LEAKAGE_CANDIDATE,kaggle/auto_test/2/9003316_1.png[2/auto_test] ; kaggle/test/2/9003316R.png[2/test]
knee_identity,knee:9003316_R,kaggle/test/2/9003316R.png,2,2,"auto_test,test",SAME_KNEE_MULTIPLE_FOLDERS|SPLIT_LEAKAGE_CANDIDATE,kaggle/auto_test/2/9003316_1.png[2/auto_test] ; kaggle/test/2/9003316R.png[2/test]
knee_identity,knee:9003815_L,kaggle/auto_test/0/9003815_2.png,2,0,"auto_test,test",SAME_KNEE_MULTIPLE_FOLDERS|SPLIT_LEAKAGE_CANDIDATE,kaggle/auto_test/0/9003815_2.png[0/auto_test] ; kaggle/test/0/9003815L.png[0/test]
knee_identity,knee:9003815_L,kaggle/test/0/9003815L.png,2,0,"auto_test,test",SAME_KNEE_MULTIPLE_FOLDERS|SPLIT_LEAKAGE_CANDIDATE,kaggle/auto_test/0/9003815_2.png[0/auto_test] ; kaggle/test/0/9003815L.png[0/test]
knee_identity,knee:9003815_R,kaggle/auto_test/0/9003815_1.png,2,0,"auto_test,test",SAME_KNEE_MULTIPLE_FOLDERS|SPLIT_LEAKAGE_CANDIDATE,kaggle/auto_test/0/9003815_1.png[0/auto_test] ; kaggle/test/0/9003815R.png[0/test]
knee_identity,knee:9003815_R,kaggle/test/0/9003815R.png,2,0,"auto_test,test",SAME_KNEE_MULTIPLE_FOLDERS|SPLIT_LEAKAGE_CANDIDATE,kaggle/auto_test/0/9003815_1.png[0/auto_test] ; kaggle/test/0/9003815R.png[0/test]
knee_identity,knee:9004184_L,kaggle/auto_test/1/9004184_2.png,2,1,"auto_test,test",SAME_KNEE_MULTIPLE_FOLDERS|SPLIT_LEAKAGE_CANDIDATE,kaggle/auto_test/1/9004184_2.png[1/auto_test] ; kaggle/test/1/9004184L.png[1/test]
knee_identity,knee:9004184_L,kaggle/test/1/9004184L.png,2,1,"auto_test,test",SAME_KNEE_MULTIPLE_FOLDERS|SPLIT_LEAKAGE_CANDIDATE,kaggle/auto_test/1/9004184_2.png[1/auto_test] ; kaggle/test/1/9004184L.png[1/test]
knee_identity,knee:9004184_R,kaggle/auto_test/0/9004184_1.png,2,0,"auto_test,test",SAME_KNEE_MULTIPLE_FOLDERS|SPLIT_LEAKAGE_CANDIDATE,kaggle/auto_test/0/9004184_1.png[0/auto_test] ; kaggle/test/0/9004184R.png[0/test]
knee_identity,knee:9004184_R,kaggle/test/0/9004184R.png,2,0,"auto_test,test",SAME_KNEE_MULTIPLE_FOLDERS|SPLIT_LEAKAGE_CANDIDATE,kaggle/auto_test/0/9004184_1.png[0/auto_test] ; kaggle/test/0/9004184R.png[0/test]
knee_identity,knee:9006407_L,kaggle/auto_test/0/9006407_2.png,2,0,"auto_test,test",SAME_KNEE_MULTIPLE_FOLDERS|SPLIT_LEAKAGE_CANDIDATE,kaggle/auto_test/0/9006407_2.png[0/auto_test] ; kaggle/test/0/9006407L.png[0/test]
knee_identity,knee:9006407_L,kaggle/test/0/9006407L.png,2,0,"auto_test,test",SAME_KNEE_MULTIPLE_FOLDERS|SPLIT_LEAKAGE_CANDIDATE,kaggle/auto_test/0/9006407_2.png[0/auto_test] ; kaggle/test/0/9006407L.png[0/test]
