experiment_id,threshold,coverage,selective_accuracy,n_kept
K6_kd_ens_long,0.0,1.0,0.6653,1240
K6_kd_ens_long,0.05,1.0,0.6653,1240
K6_kd_ens_long,0.1,1.0,0.6653,1240
K6_kd_ens_long,0.15,1.0,0.6653,1240
K6_kd_ens_long,0.2,1.0,0.6653,1240
K6_kd_ens_long,0.25,1.0,0.6653,1240
K6_kd_ens_long,0.3,1.0,0.6653,1240
K6_kd_ens_long,0.35,1.0,0.6653,1240
K6_kd_ens_long,0.4,0.9774,0.6749,1212
K6_kd_ens_long,0.45,0.8839,0.7044,1096
K6_kd_ens_long,0.5,0.7161,0.7613,888
K6_kd_ens_long,0.55,0.6169,0.8105,765
K6_kd_ens_long,0.6,0.5258,0.842,652
K6_kd_ens_long,0.65,0.4403,0.8626,546
K6_kd_ens_long,0.7,0.3605,0.8949,447
K6_kd_ens_long,0.75,0.2702,0.9104,335
K6_kd_ens_long,0.8,0.2089,0.9228,259
K6_kd_ens_long,0.85,0.1645,0.9608,204
K6_kd_ens_long,0.9,0.1355,0.9583,168
K6_kd_ens_long,0.95,0.0911,0.9912,113
K6_kd_ens_long__seed123,0.0,1.0,0.6605,1240
K6_kd_ens_long__seed123,0.05,1.0,0.6605,1240
K6_kd_ens_long__seed123,0.1,1.0,0.6605,1240
K6_kd_ens_long__seed123,0.15,1.0,0.6605,1240
K6_kd_ens_long__seed123,0.2,1.0,0.6605,1240
K6_kd_ens_long__seed123,0.25,1.0,0.6605,1240
K6_kd_ens_long__seed123,0.3,1.0,0.6605,1240
K6_kd_ens_long__seed123,0.35,0.9976,0.6613,1237
K6_kd_ens_long__seed123,0.4,0.975,0.6683,1209
K6_kd_ens_long__seed123,0.45,0.8718,0.7114,1081
K6_kd_ens_long__seed123,0.5,0.7387,0.7609,916
K6_kd_ens_long__seed123,0.55,0.6202,0.8114,769
K6_kd_ens_long__seed123,0.6,0.5419,0.8363,672
K6_kd_ens_long__seed123,0.65,0.4653,0.8458,577
K6_kd_ens_long__seed123,0.7,0.3879,0.8773,481
K6_kd_ens_long__seed123,0.75,0.2952,0.8934,366
K6_kd_ens_long__seed123,0.8,0.2266,0.9359,281
K6_kd_ens_long__seed123,0.85,0.175,0.9493,217
K6_kd_ens_long__seed123,0.9,0.1387,0.9593,172
K6_kd_ens_long__seed123,0.95,0.0911,0.9823,113
K6_kd_ens_long__seed3407,0.0,1.0,0.6798,1240
K6_kd_ens_long__seed3407,0.05,1.0,0.6798,1240
K6_kd_ens_long__seed3407,0.1,1.0,0.6798,1240
K6_kd_ens_long__seed3407,0.15,1.0,0.6798,1240
K6_kd_ens_long__seed3407,0.2,1.0,0.6798,1240
K6_kd_ens_long__seed3407,0.25,1.0,0.6798,1240
K6_kd_ens_long__seed3407,0.3,1.0,0.6798,1240
K6_kd_ens_long__seed3407,0.35,0.9976,0.6799,1237
K6_kd_ens_long__seed3407,0.4,0.9758,0.6876,1210
K6_kd_ens_long__seed3407,0.45,0.8903,0.7138,1104
K6_kd_ens_long__seed3407,0.5,0.7315,0.7674,907
K6_kd_ens_long__seed3407,0.55,0.6347,0.803,787
K6_kd_ens_long__seed3407,0.6,0.5363,0.8316,665
K6_kd_ens_long__seed3407,0.65,0.4468,0.8592,554
K6_kd_ens_long__seed3407,0.7,0.3516,0.8807,436
K6_kd_ens_long__seed3407,0.75,0.2758,0.9064,342
K6_kd_ens_long__seed3407,0.8,0.2153,0.9176,267
K6_kd_ens_long__seed3407,0.85,0.1766,0.9361,219
K6_kd_ens_long__seed3407,0.9,0.1403,0.9655,174
K6_kd_ens_long__seed3407,0.95,0.096,0.9664,119
