model,best_epoch,epochs_completed,max_epochs,early_stop,early_stop_reason,phase4_status,phase3_macro_f1,phase4_macro_f1,delta_macro_f1,phase3_qwk,phase4_qwk,delta_qwk,phase3_balanced_accuracy,phase4_balanced_accuracy,delta_balanced_accuracy,phase3_kl4_f1,phase4_kl4_f1,delta_kl4_f1,phase3_latency,phase4_latency,delta_latency
convnext_tiny,14,19,50,True,early stop: no val_macro_f1 improvement for 5 epochs (patience exhausted),OK,0.7054691570369995,0.7114966912691298,0.006028,0.8398486169727077,0.8451594314891016,0.005311,0.7160022721086186,0.7365826011082641,0.02058,0.9,0.8705882352941177,-0.029412,3.3294,7.5395,4.2101
vgg19,27,32,50,True,early stop: no val_macro_f1 improvement for 5 epochs (patience exhausted),OK,0.7023776475727983,0.7079433268079229,0.005566,0.8367492231128039,0.8421940722246036,0.005445,0.7189989033965812,0.7133475171171437,-0.005651,0.9230769230769232,0.9210526315789473,-0.002024,3.6375,3.3688,-0.2687
vgg16,21,26,50,True,early stop: no val_macro_f1 improvement for 5 epochs (patience exhausted),OK,0.7074414312221013,0.7077299594325329,0.000289,0.8372908344606024,0.8440542936525102,0.006763,0.7116546673533083,0.7057532516207803,-0.005901,0.918918918918919,0.918918918918919,0.0,3.0357,3.3027,0.267
densenet121,19,24,50,True,early stop: no val_macro_f1 improvement for 5 epochs (patience exhausted),OK,0.6932163192151684,0.7017031065920285,0.008487,0.8136323212792085,0.8095497376146028,-0.004083,0.6933830599089867,0.7108161954500521,0.017433,0.9066666666666666,0.918918918918919,0.012252,7.9209,10.8264,2.9055
inception_v3,12,17,50,True,early stop: no val_macro_f1 improvement for 5 epochs (patience exhausted),OK,0.6872176753010855,0.6839627487238185,-0.003255,0.7848653457211331,0.8097189918174617,0.024854,0.6947880247378861,0.6907656806047096,-0.004022,0.9066666666666666,0.9210526315789473,0.014386,6.1649,6.1267,-0.0382
googlenet,28,33,50,True,early stop: no val_macro_f1 improvement for 5 epochs (patience exhausted),OK,0.669483511274884,0.6730563123233866,0.003573,0.7991800262072813,0.7822635422175237,-0.016916,0.6866006375466727,0.6800607023354088,-0.00654,0.9,0.9210526315789473,0.021053,3.4971,3.6287,0.1316
resnet50,29,34,50,True,early stop: no val_macro_f1 improvement for 5 epochs (patience exhausted),OK,0.6624545252307575,0.6686131332788822,0.006159,0.7767428115350516,0.8008217763163801,0.024079,0.67815636047065,0.6724928470739264,-0.005664,0.9090909090909092,0.9066666666666666,-0.002424,2.9917,4.6448,1.6531
mobilenet_v3_large,19,24,50,True,early stop: no val_macro_f1 improvement for 5 epochs (patience exhausted),OK,0.6592058687399309,0.6595731669824706,0.000367,0.7558884619927901,0.7593729509270138,0.003484,0.6676553994973312,0.6706472328388149,0.002992,0.8974358974358975,0.8860759493670886,-0.01136,3.3883,3.5182,0.1299
xception,7,12,50,True,early stop: no val_macro_f1 improvement for 5 epochs (patience exhausted),OK,0.6870371699902864,0.6522922718019676,-0.034745,0.7777586669542689,0.7595035927183359,-0.018255,0.6864317755160875,0.653414795099714,-0.033017,0.958904109589041,0.9166666666666666,-0.042237,4.1874,3.0339,-1.1535
efficientnet_b0,19,24,50,True,early stop: no val_macro_f1 improvement for 5 epochs (patience exhausted),OK,0.6403244992581251,0.6498439588704789,0.009519,0.7713131984760482,0.7718164939405192,0.000503,0.6642568529941535,0.6673355794572313,0.003079,0.8780487804878049,0.875,-0.003049,6.4523,5.1495,-1.3028
mobilenet_v2,26,31,50,True,early stop: no val_macro_f1 improvement for 5 epochs (patience exhausted),OK,0.6439742272585633,0.6468854851037238,0.002911,0.7644300388628191,0.7558871172536041,-0.008543,0.6650475053641699,0.6633489811059412,-0.001699,0.8888888888888888,0.8974358974358975,0.008547,2.968,3.103,0.135
resnet18,26,31,50,True,early stop: no val_macro_f1 improvement for 5 epochs (patience exhausted),OK,0.647875459815136,0.6456653907603925,-0.00221,0.7687872465103516,0.7811941618507526,0.012407,0.6545350580803807,0.6589930762024706,0.004458,0.9210526315789472,0.9090909090909091,-0.011962,2.1972,1.8794,-0.3178
shufflenet,17,22,50,True,early stop: no val_macro_f1 improvement for 5 epochs (patience exhausted),OK,0.6472718427320625,0.6452080924655446,-0.002064,0.7621467841090441,0.7670526197241586,0.004906,0.6475878191909331,0.6498075860537927,0.00222,0.9333333333333332,0.9210526315789473,-0.012281,3.4385,3.5238,0.0853
efficientnet_b1,7,12,50,True,early stop: no val_macro_f1 improvement for 5 epochs (patience exhausted),OK,0.6776209614360325,0.6387010362523116,-0.03892,0.7901197855836677,0.7724104743521116,-0.017709,0.6866337956626912,0.6348896071234111,-0.051744,0.9230769230769232,0.8571428571428571,-0.065934,5.8165,6.9488,1.1323
squeezenet,18,23,50,True,early stop: no val_macro_f1 improvement for 5 epochs (patience exhausted),OK,0.6340335200331203,0.6345072073180875,0.000474,0.7527958727470734,0.7514231344467303,-0.001373,0.6274956629581251,0.6392805674597468,0.011785,0.8985507246376812,0.9230769230769231,0.024526,1.3485,1.4214,0.0729
