model,test_macro_f1,test_accuracy,test_qwk,test_balanced_accuracy,parameters,trainable_parameters,mean_latency_ms,macro_f1_per_Mparam
vgg16,0.7382433076367481,0.7258064516129032,0.8752887800767174,0.7391927991500502,134281029,134281029,3.0295,0.0055
vgg19,0.7109701033602291,0.6895161290322581,0.8636815539920465,0.7123650745126108,139590725,139590725,3.3487,0.0051
googlenet,0.671522912940926,0.646774193548387,0.8168484454444509,0.677040731504506,5605029,5605029,3.4735,0.1198
squeezenet,0.647375783022058,0.5959677419354839,0.7729986380851104,0.645524830321611,725061,725061,1.2547,0.8929
shufflenet,0.6582938064783361,0.6225806451612903,0.7985733768412935,0.6531476845147587,1258729,1258729,5.499,0.523
convnext_tiny,0.7168914279472121,0.6967741935483871,0.861849272109068,0.7305811970763132,27823973,27823973,4.2581,0.0258
densenet121,0.7061225172697967,0.6862903225806452,0.8439623496250063,0.712429606799619,6958981,6958981,8.1832,0.1015
inception_v3,0.705040907937444,0.6862903225806452,0.8441789001618457,0.7053388381869292,21795813,21795813,9.389,0.0323
xception,0.6350338122946517,0.6290322580645161,0.7776831043419605,0.6246014407301095,20817197,20817197,2.9777,0.0305
efficientnet_b1,0.6741587353960605,0.6314516129032258,0.8153625826484996,0.6659639067267268,6519589,6519589,5.7207,0.1034
resnet50,0.6967157165920742,0.6524193548387097,0.8264001812461403,0.6989549852653659,23518277,23518277,3.076,0.0296
mobilenet_v3_large,0.6517877986039696,0.6459677419354839,0.7929110342659541,0.6632675609211713,4208437,4208437,3.2768,0.1549
resnet18,0.6595255547071502,0.6282258064516129,0.8160152896664041,0.6707884435774841,11179077,11179077,3.0162,0.059
mobilenet_v2,0.6546650479487768,0.6362903225806451,0.795793997463717,0.6779626751765553,2230277,2230277,4.6835,0.2935
efficientnet_b0,0.6704710085541505,0.6516129032258065,0.8044208971155308,0.6752540276505061,4013953,4013953,4.182,0.167
