model,error_0,error_1,error_2,error_3,error_4,underprediction_count,overprediction_count,mae,qwk,exact_accuracy,within_1_accuracy,adjacent_error_fraction_of_errors
vgg16,900,309,29,2,0,209,131,0.3008064516129032,0.8752887800767174,0.7258064516129032,0.975,0.9088
vgg19,855,354,30,1,0,234,151,0.3362903225806452,0.8636815539920465,0.6895161290322581,0.975,0.9195
googlenet,802,370,67,1,0,206,232,0.4088709677419355,0.8168484454444509,0.646774193548387,0.9451612903225807,0.8447
squeezenet,739,408,92,1,0,292,209,0.4798387096774194,0.7729986380851104,0.5959677419354839,0.925,0.8144
shufflenet,772,383,84,1,0,325,143,0.4467741935483871,0.7985733768412935,0.6225806451612903,0.9314516129032258,0.8184
convnext_tiny,864,341,34,1,0,200,176,0.33225806451612905,0.861849272109068,0.6967741935483871,0.9717741935483871,0.9069
densenet121,851,337,49,3,0,210,179,0.3580645161290323,0.8439623496250063,0.6862903225806452,0.9580645161290322,0.8663
inception_v3,851,334,53,2,0,250,139,0.3596774193548387,0.8441789001618457,0.6862903225806452,0.9556451612903226,0.8586
xception,780,349,108,3,0,296,164,0.4629032258064516,0.7776831043419605,0.6290322580645161,0.910483870967742,0.7587
efficientnet_b1,783,405,50,2,0,265,192,0.4120967741935484,0.8153625826484996,0.6314516129032258,0.9580645161290322,0.8862
resnet50,809,372,58,1,0,262,169,0.3959677419354839,0.8264001812461403,0.6524193548387097,0.9524193548387097,0.8631
mobilenet_v3_large,801,341,95,3,0,225,214,0.43548387096774194,0.7929110342659541,0.6459677419354839,0.9209677419354839,0.7768
resnet18,779,394,65,2,0,292,169,0.4274193548387097,0.8160152896664041,0.6282258064516129,0.9459677419354838,0.8547
mobilenet_v2,789,357,91,3,0,222,229,0.44193548387096776,0.795793997463717,0.6362903225806451,0.9241935483870968,0.7916
efficientnet_b0,808,343,86,3,0,251,181,0.42258064516129035,0.8044208971155308,0.6516129032258065,0.9282258064516129,0.794
