model,class,precision,recall,f1,support
vgg16,0,0.7952755905511811,0.8487394957983193,0.8211382113821138,476
vgg16,1,0.4548872180451128,0.5330396475770925,0.4908722109533469,227
vgg16,2,0.8181818181818182,0.6036585365853658,0.6947368421052632,328
vgg16,3,0.7700534759358288,0.8421052631578947,0.8044692737430168,171
vgg16,4,0.8918918918918919,0.868421052631579,0.88,38
vgg19,0,0.7672583826429981,0.8172268907563025,0.7914547304170906,476
vgg19,1,0.391304347826087,0.47577092511013214,0.4294234592445328,227
vgg19,2,0.788135593220339,0.5670731707317073,0.6595744680851063,328
vgg19,3,0.7540983606557377,0.8070175438596491,0.7796610169491526,171
vgg19,4,0.8947368421052632,0.8947368421052632,0.8947368421052632,38
googlenet,0,0.7274678111587983,0.7121848739495799,0.7197452229299363,476
googlenet,1,0.32608695652173914,0.3303964757709251,0.3282275711159737,227
googlenet,2,0.6677018633540373,0.6554878048780488,0.6615384615384615,328
googlenet,3,0.7650273224043715,0.8187134502923976,0.7909604519774012,171
googlenet,4,0.8461538461538461,0.868421052631579,0.8571428571428571,38
squeezenet,0,0.6686991869918699,0.6911764705882353,0.6797520661157025,476
squeezenet,1,0.2568493150684932,0.3303964757709251,0.28901734104046245,227
squeezenet,2,0.6554307116104869,0.5335365853658537,0.5882352941176471,328
squeezenet,3,0.8435374149659864,0.7251461988304093,0.779874213836478,171
squeezenet,4,0.8571428571428571,0.9473684210526315,0.9,38
shufflenet,0,0.6474576271186441,0.8025210084033614,0.7166979362101313,476
shufflenet,1,0.24583333333333332,0.2599118942731278,0.25267665952890794,227
shufflenet,2,0.7688442211055276,0.46646341463414637,0.5806451612903226,328
shufflenet,3,0.8275862068965517,0.8421052631578947,0.8347826086956521,171
shufflenet,4,0.918918918918919,0.8947368421052632,0.9066666666666666,38
convnext_tiny,0,0.7813163481953291,0.773109243697479,0.7771911298838438,476
convnext_tiny,1,0.3898916967509025,0.47577092511013214,0.42857142857142855,227
convnext_tiny,2,0.7651245551601423,0.6554878048780488,0.7060755336617406,328
convnext_tiny,3,0.8303030303030303,0.8011695906432749,0.8154761904761905,171
convnext_tiny,4,0.782608695652174,0.9473684210526315,0.8571428571428571,38
densenet121,0,0.7485029940119761,0.7878151260504201,0.7676560900716479,476
densenet121,1,0.3924050632911392,0.40969162995594716,0.40086206896551724,227
densenet121,2,0.7555555555555555,0.6219512195121951,0.6822742474916388,328
densenet121,3,0.7512953367875648,0.847953216374269,0.7967032967032966,171
densenet121,4,0.8717948717948718,0.8947368421052632,0.8831168831168831,38
inception_v3,0,0.7171171171171171,0.8361344537815126,0.7720659553831232,476
inception_v3,1,0.3794642857142857,0.3744493392070485,0.376940133037694,227
inception_v3,2,0.7949790794979079,0.5792682926829268,0.6701940035273368,328
inception_v3,3,0.782608695652174,0.8421052631578947,0.8112676056338028,171
inception_v3,4,0.8947368421052632,0.8947368421052632,0.8947368421052632,38
xception,0,0.6514382402707276,0.8088235294117647,0.7216494845360825,476
xception,1,0.2865853658536585,0.20704845814977973,0.24040920716112532,227
xception,2,0.6654275092936803,0.5457317073170732,0.5996649916247906,328
xception,3,0.7580645161290323,0.8245614035087719,0.7899159663865546,171
xception,4,0.9333333333333333,0.7368421052631579,0.8235294117647058,38
efficientnet_b1,0,0.7321428571428571,0.6890756302521008,0.70995670995671,476
efficientnet_b1,1,0.3252032520325203,0.5286343612334802,0.40268456375838924,227
efficientnet_b1,2,0.7747747747747747,0.524390243902439,0.6254545454545455,328
efficientnet_b1,3,0.7951807228915663,0.7719298245614035,0.7833827893175074,171
efficientnet_b1,4,0.8857142857142857,0.8157894736842105,0.8493150684931506,38
resnet50,0,0.7196078431372549,0.7710084033613446,0.744421906693712,476
resnet50,1,0.3204225352112676,0.4008810572687225,0.3561643835616438,227
resnet50,2,0.7467811158798283,0.5304878048780488,0.6203208556149733,328
resnet50,3,0.8092485549132948,0.8187134502923976,0.813953488372093,171
resnet50,4,0.925,0.9736842105263158,0.9487179487179487,38
mobilenet_v3_large,0,0.7145631067961165,0.773109243697479,0.7426841574167508,476
mobilenet_v3_large,1,0.3313253012048193,0.2422907488986784,0.27989821882951654,227
mobilenet_v3_large,2,0.60932944606414,0.6371951219512195,0.6229508196721312,328
mobilenet_v3_large,3,0.7816091954022989,0.7953216374269005,0.7884057971014493,171
mobilenet_v3_large,4,0.7857142857142857,0.868421052631579,0.825,38
resnet18,0,0.6774193548387096,0.7941176470588235,0.7311411992263056,476
resnet18,1,0.26,0.28634361233480177,0.27253668763102723,227
resnet18,2,0.765,0.46646341463414637,0.5795454545454546,328
resnet18,3,0.7736842105263158,0.8596491228070176,0.814404432132964,171
resnet18,4,0.8571428571428571,0.9473684210526315,0.9,38
mobilenet_v2,0,0.7003891050583657,0.7563025210084033,0.7272727272727273,476
mobilenet_v2,1,0.3333333333333333,0.28193832599118945,0.3054892601431981,227
mobilenet_v2,2,0.6411960132890365,0.5884146341463414,0.6136724960254372,328
mobilenet_v2,3,0.7258064516129032,0.7894736842105263,0.7563025210084033,171
mobilenet_v2,4,0.7872340425531915,0.9736842105263158,0.8705882352941177,38
efficientnet_b0,0,0.6902173913043478,0.8004201680672269,0.7412451361867705,476
efficientnet_b0,1,0.3387096774193548,0.2775330396475771,0.3050847457627119,227
efficientnet_b0,2,0.6861313868613139,0.573170731707317,0.6245847176079734,328
efficientnet_b0,3,0.7473684210526316,0.8304093567251462,0.7867036011080333,171
efficientnet_b0,4,0.8947368421052632,0.8947368421052632,0.8947368421052632,38
