model,p3val_macro_f1,p4val_macro_f1,p5test_macro_f1,p3val_qwk,p4val_qwk,p5test_qwk,p3val_balanced_accuracy,p4val_balanced_accuracy,p5test_balanced_accuracy,p3val_accuracy,p4val_accuracy,p5test_accuracy,p3val_weighted_f1,p4val_weighted_f1,p5test_weighted_f1,p3val_kl4_f1,p4val_kl4_f1,p5test_kl4_f1,p5test_mae
vgg16,0.7074414312221013,0.7077299594325329,0.7382433076367481,0.8372908344606024,0.8440542936525102,0.8752887800767174,0.7116546673533083,0.7057532516207803,0.7391927991500502,0.6680129240710824,0.6688206785137318,0.7258064516129032,0.6753825738152105,0.6778610242129454,0.7267481536490953,0.918918918918919,0.918918918918919,0.88,0.3008064516129032
vgg19,0.7023776475727983,0.7079433268079229,0.7109701033602291,0.8367492231128039,0.8421940722246036,0.8636815539920465,0.7189989033965812,0.7133475171171437,0.7123650745126108,0.6421647819063004,0.672859450726979,0.6895161290322581,0.6607497367903434,0.6789387654503023,0.6918339002881162,0.9230769230769232,0.9210526315789473,0.8947368421052632,0.3362903225806452
googlenet,0.669483511274884,0.6730563123233866,0.671522912940926,0.7991800262072813,0.7822635422175237,0.8168484454444509,0.6866006375466727,0.6800607023354088,0.677040731504506,0.6276252019386107,0.6276252019386107,0.646774193548387,0.6356122429949053,0.6350175503903289,0.6467069887114155,0.9,0.9210526315789473,0.8571428571428571,0.4088709677419355
squeezenet,0.6340335200331203,0.6345072073180875,0.647375783022058,0.7527958727470734,0.7514231344467303,0.7729986380851104,0.6274956629581251,0.6392805674597468,0.645524830321611,0.592891760904685,0.5718901453957996,0.5959677419354839,0.5878473640965076,0.5814872858813562,0.6045714410676495,0.8985507246376812,0.9230769230769231,0.9,0.4798387096774194
shufflenet,0.6472718427320625,0.6452080924655446,0.6582938064783361,0.7621467841090441,0.7670526197241586,0.7985733768412935,0.6475878191909331,0.6498075860537927,0.6531476845147587,0.6074313408723748,0.5961227786752827,0.6225806451612903,0.5994070511496463,0.5968358469258181,0.6178698319940326,0.9333333333333332,0.9210526315789473,0.9066666666666666,0.4467741935483871
convnext_tiny,0.7054691570369995,0.7114966912691298,0.7168914279472121,0.8398486169727077,0.8451594314891016,0.861849272109068,0.7160022721086186,0.7365826011082641,0.7305811970763132,0.6704361873990307,0.678513731825525,0.6967741935483871,0.678600137223507,0.6904307849971275,0.7022897776567192,0.9,0.8705882352941177,0.8571428571428571,0.33225806451612905
densenet121,0.6932163192151684,0.7017031065920285,0.7061225172697967,0.8136323212792085,0.8095497376146028,0.8439623496250063,0.6933830599089867,0.7108161954500521,0.712429606799619,0.6655896607431341,0.659935379644588,0.6862903225806452,0.6653183673518621,0.6636798482308366,0.6854682637106772,0.9066666666666666,0.918918918918919,0.8831168831168831,0.3580645161290323
inception_v3,0.6872176753010855,0.6839627487238185,0.705040907937444,0.7848653457211331,0.8097189918174617,0.8441789001618457,0.6947880247378861,0.6907656806047096,0.7053388381869292,0.6462035541195477,0.6518578352180937,0.6862903225806452,0.6485374181882593,0.6499574089387264,0.6819509666792499,0.9066666666666666,0.9210526315789473,0.8947368421052632,0.3596774193548387
xception,0.6870371699902864,0.6522922718019676,0.6350338122946517,0.7777586669542689,0.7595035927183359,0.7776831043419605,0.6864317755160875,0.653414795099714,0.6246014407301095,0.6340872374798061,0.6195476575121163,0.6290322580645161,0.6377643206028702,0.6088770348297176,0.613820895013582,0.958904109589041,0.9166666666666666,0.8235294117647058,0.4629032258064516
efficientnet_b1,0.6776209614360325,0.6387010362523116,0.6741587353960605,0.7901197855836677,0.7724104743521116,0.8153625826484996,0.6866337956626912,0.6348896071234111,0.6659639067267268,0.6405492730210016,0.5872374798061389,0.6314516129032258,0.6395460604607928,0.5999834292770474,0.6457502503207038,0.9230769230769232,0.8571428571428571,0.8493150684931506,0.4120967741935484
resnet50,0.6624545252307575,0.6686131332788822,0.6967157165920742,0.7767428115350516,0.8008217763163801,0.8264001812461403,0.67815636047065,0.6724928470739264,0.6989549852653659,0.6147011308562197,0.6219709208400647,0.6524193548387097,0.6173827043973162,0.6290160973576558,0.6563683160155817,0.9090909090909092,0.9066666666666666,0.9487179487179487,0.3959677419354839
mobilenet_v3_large,0.6592058687399309,0.6595731669824706,0.6517877986039696,0.7558884619927901,0.7593729509270138,0.7929110342659541,0.6676553994973312,0.6706472328388149,0.6632675609211713,0.635702746365105,0.6365105008077544,0.6459677419354839,0.624563574498859,0.6278439521018373,0.6351208183560326,0.8974358974358975,0.8860759493670886,0.825,0.43548387096774194
resnet18,0.647875459815136,0.6456653907603925,0.6595255547071502,0.7687872465103516,0.7811941618507526,0.8160152896664041,0.6545350580803807,0.6589930762024706,0.6707884435774841,0.6017770597738288,0.6009693053311793,0.6282258064516129,0.5991620584565249,0.6007101760739673,0.6237444402496861,0.9210526315789472,0.9090909090909091,0.9,0.4274193548387097
mobilenet_v2,0.6439742272585633,0.6468854851037238,0.6546650479487768,0.7644300388628191,0.7558871172536041,0.795793997463717,0.6650475053641699,0.6633489811059412,0.6779626751765553,0.6017770597738288,0.6138933764135702,0.6362903225806451,0.6036222606343452,0.6117077857583625,0.6284052765840975,0.8888888888888888,0.8974358974358975,0.8705882352941177,0.44193548387096776
efficientnet_b0,0.6403244992581251,0.6498439588704789,0.6704710085541505,0.7713131984760482,0.7718164939405192,0.8044208971155308,0.6642568529941535,0.6673355794572313,0.6752540276505061,0.6235864297253635,0.6316639741518578,0.6516129032258065,0.6147938867381975,0.6239187581482208,0.6415137300628446,0.8780487804878049,0.875,0.8947368421052632,0.42258064516129035
