model,class,precision,recall,f1,support,display
vgg16,0,0.7953,0.8487,0.8211,476,VGG16
vgg16,1,0.4549,0.533,0.4909,227,VGG16
vgg16,2,0.8182,0.6037,0.6947,328,VGG16
vgg16,3,0.7701,0.8421,0.8045,171,VGG16
vgg16,4,0.8919,0.8684,0.88,38,VGG16
vgg19,0,0.7673,0.8172,0.7915,476,VGG19
vgg19,1,0.3913,0.4758,0.4294,227,VGG19
vgg19,2,0.7881,0.5671,0.6596,328,VGG19
vgg19,3,0.7541,0.807,0.7797,171,VGG19
vgg19,4,0.8947,0.8947,0.8947,38,VGG19
googlenet,0,0.7275,0.7122,0.7197,476,GoogLeNet
googlenet,1,0.3261,0.3304,0.3282,227,GoogLeNet
googlenet,2,0.6677,0.6555,0.6615,328,GoogLeNet
googlenet,3,0.765,0.8187,0.791,171,GoogLeNet
googlenet,4,0.8462,0.8684,0.8571,38,GoogLeNet
squeezenet,0,0.6687,0.6912,0.6798,476,SqueezeNet
squeezenet,1,0.2568,0.3304,0.289,227,SqueezeNet
squeezenet,2,0.6554,0.5335,0.5882,328,SqueezeNet
squeezenet,3,0.8435,0.7251,0.7799,171,SqueezeNet
squeezenet,4,0.8571,0.9474,0.9,38,SqueezeNet
shufflenet,0,0.6475,0.8025,0.7167,476,ShuffleNet-V2
shufflenet,1,0.2458,0.2599,0.2527,227,ShuffleNet-V2
shufflenet,2,0.7688,0.4665,0.5806,328,ShuffleNet-V2
shufflenet,3,0.8276,0.8421,0.8348,171,ShuffleNet-V2
shufflenet,4,0.9189,0.8947,0.9067,38,ShuffleNet-V2
convnext_tiny,0,0.7813,0.7731,0.7772,476,ConvNeXt-Tiny
convnext_tiny,1,0.3899,0.4758,0.4286,227,ConvNeXt-Tiny
convnext_tiny,2,0.7651,0.6555,0.7061,328,ConvNeXt-Tiny
convnext_tiny,3,0.8303,0.8012,0.8155,171,ConvNeXt-Tiny
convnext_tiny,4,0.7826,0.9474,0.8571,38,ConvNeXt-Tiny
densenet121,0,0.7485,0.7878,0.7677,476,DenseNet121
densenet121,1,0.3924,0.4097,0.4009,227,DenseNet121
densenet121,2,0.7556,0.622,0.6823,328,DenseNet121
densenet121,3,0.7513,0.848,0.7967,171,DenseNet121
densenet121,4,0.8718,0.8947,0.8831,38,DenseNet121
inception_v3,0,0.7171,0.8361,0.7721,476,Inception-V3
inception_v3,1,0.3795,0.3744,0.3769,227,Inception-V3
inception_v3,2,0.795,0.5793,0.6702,328,Inception-V3
inception_v3,3,0.7826,0.8421,0.8113,171,Inception-V3
inception_v3,4,0.8947,0.8947,0.8947,38,Inception-V3
xception,0,0.6514,0.8088,0.7216,476,Xception
xception,1,0.2866,0.207,0.2404,227,Xception
xception,2,0.6654,0.5457,0.5997,328,Xception
xception,3,0.7581,0.8246,0.7899,171,Xception
xception,4,0.9333,0.7368,0.8235,38,Xception
efficientnet_b1,0,0.7321,0.6891,0.71,476,EfficientNet-B1
efficientnet_b1,1,0.3252,0.5286,0.4027,227,EfficientNet-B1
efficientnet_b1,2,0.7748,0.5244,0.6255,328,EfficientNet-B1
efficientnet_b1,3,0.7952,0.7719,0.7834,171,EfficientNet-B1
efficientnet_b1,4,0.8857,0.8158,0.8493,38,EfficientNet-B1
resnet50,0,0.7196,0.771,0.7444,476,ResNet50
resnet50,1,0.3204,0.4009,0.3562,227,ResNet50
resnet50,2,0.7468,0.5305,0.6203,328,ResNet50
resnet50,3,0.8092,0.8187,0.814,171,ResNet50
resnet50,4,0.925,0.9737,0.9487,38,ResNet50
mobilenet_v3_large,0,0.7146,0.7731,0.7427,476,MobileNet-V3-L
mobilenet_v3_large,1,0.3313,0.2423,0.2799,227,MobileNet-V3-L
mobilenet_v3_large,2,0.6093,0.6372,0.623,328,MobileNet-V3-L
mobilenet_v3_large,3,0.7816,0.7953,0.7884,171,MobileNet-V3-L
mobilenet_v3_large,4,0.7857,0.8684,0.825,38,MobileNet-V3-L
resnet18,0,0.6774,0.7941,0.7311,476,ResNet18
resnet18,1,0.26,0.2863,0.2725,227,ResNet18
resnet18,2,0.765,0.4665,0.5795,328,ResNet18
resnet18,3,0.7737,0.8596,0.8144,171,ResNet18
resnet18,4,0.8571,0.9474,0.9,38,ResNet18
mobilenet_v2,0,0.7004,0.7563,0.7273,476,MobileNet-V2
mobilenet_v2,1,0.3333,0.2819,0.3055,227,MobileNet-V2
mobilenet_v2,2,0.6412,0.5884,0.6137,328,MobileNet-V2
mobilenet_v2,3,0.7258,0.7895,0.7563,171,MobileNet-V2
mobilenet_v2,4,0.7872,0.9737,0.8706,38,MobileNet-V2
efficientnet_b0,0,0.6902,0.8004,0.7412,476,EfficientNet-B0
efficientnet_b0,1,0.3387,0.2775,0.3051,227,EfficientNet-B0
efficientnet_b0,2,0.6861,0.5732,0.6246,328,EfficientNet-B0
efficientnet_b0,3,0.7474,0.8304,0.7867,171,EfficientNet-B0
efficientnet_b0,4,0.8947,0.8947,0.8947,38,EfficientNet-B0
