split,threshold,coverage,selective_accuracy,selective_macro_f1,n_kept
val,0.3,1.0,0.6922,0.7247,1238
val,0.32,1.0,0.6922,0.7247,1238
val,0.34,1.0,0.6922,0.7247,1238
val,0.36,0.9968,0.6937,0.7258,1234
val,0.38,0.9887,0.6969,0.7278,1224
val,0.4,0.9733,0.7029,0.7311,1205
val,0.42,0.9467,0.7065,0.7306,1172
val,0.44,0.9055,0.7244,0.7383,1121
val,0.46,0.853,0.7415,0.7459,1056
val,0.48,0.7973,0.7599,0.7531,987
val,0.5,0.7383,0.779,0.7566,914
val,0.52,0.7003,0.7912,0.7549,867
val,0.54,0.6502,0.8124,0.7647,805
val,0.56,0.6115,0.8269,0.7581,757
val,0.58,0.5711,0.8402,0.7557,707
val,0.6,0.5452,0.8459,0.7515,675
val,0.62,0.5226,0.8454,0.7438,647
val,0.64,0.4838,0.8664,0.7429,599
val,0.66,0.4588,0.8785,0.7448,568
val,0.68,0.4378,0.8838,0.7487,542
val,0.7,0.4128,0.8904,0.7425,511
val,0.72,0.3861,0.9017,0.7535,478
val,0.74,0.3498,0.9099,0.7384,433
val,0.76,0.3231,0.92,0.7451,400
val,0.78,0.2916,0.9252,0.748,361
val,0.8,0.269,0.9309,0.7523,333
val,0.82,0.2375,0.9388,0.7551,294
val,0.84,0.2068,0.9414,0.7593,256
val,0.86,0.1882,0.9442,0.7627,233
val,0.88,0.1616,0.945,0.7632,200
val,0.9,0.1373,0.9412,0.7613,170
val,0.92,0.1179,0.9658,0.7755,146
val,0.94,0.101,0.968,0.7735,125
val,0.96,0.0767,0.9684,0.5632,95
val,0.98,0.0477,1.0,0.6,59
test,0.3,1.0,0.7234,0.7375,1240
test,0.32,1.0,0.7234,0.7375,1240
test,0.34,0.9984,0.7237,0.7379,1238
test,0.36,0.9927,0.7238,0.7373,1231
test,0.38,0.9831,0.7268,0.7381,1219
test,0.4,0.9702,0.7315,0.7401,1203
test,0.42,0.9524,0.7367,0.7421,1181
test,0.44,0.9153,0.7471,0.7441,1135
test,0.46,0.879,0.7578,0.7478,1090
test,0.48,0.8387,0.7683,0.748,1040
test,0.5,0.7935,0.7856,0.7585,984
test,0.52,0.7484,0.7996,0.7598,928
test,0.54,0.7065,0.8162,0.7605,876
test,0.56,0.6718,0.8211,0.758,833
test,0.58,0.6315,0.8365,0.7638,783
test,0.6,0.5984,0.8464,0.7573,742
test,0.62,0.5694,0.8527,0.7437,706
test,0.64,0.5427,0.8678,0.7409,673
test,0.66,0.5129,0.8758,0.7403,636
test,0.68,0.4847,0.8769,0.7336,601
test,0.7,0.4556,0.892,0.7435,565
test,0.72,0.4202,0.9021,0.7349,521
test,0.74,0.3887,0.9025,0.7362,482
test,0.76,0.3621,0.9109,0.7419,449
test,0.78,0.3347,0.9181,0.7449,415
test,0.8,0.2992,0.9272,0.7489,371
test,0.82,0.279,0.9306,0.7488,346
test,0.84,0.2556,0.9369,0.7528,317
test,0.86,0.2274,0.9397,0.7566,282
test,0.88,0.1935,0.9458,0.7602,240
test,0.9,0.1669,0.9662,0.7758,207
test,0.92,0.1411,0.9771,0.7841,175
test,0.94,0.1226,0.9803,0.7855,152
test,0.96,0.0984,0.9754,0.5831,122
test,0.98,0.0613,0.9868,0.5923,76
