experiment_id,family,model,preprocessing,loss,optimizer,learning_rate,stage_a_epochs,max_epochs,patience,differential_lr,augmentation,seed,best_epoch,epochs_run,val_accuracy,val_macro_f1,val_qwk,val_balanced_accuracy,KL0_F1,KL1_F1,KL2_F1,KL3_F1,KL4_F1,parameters,gmacs,latency_ms_gpu,latency_ms_cpu,training_time_sec,stopped_early,checkpoint
convnext_tiny__prep__basic,preprocessing,convnext_tiny,basic,weighted_cross_entropy,adamw,0.0001,3,50,5,False,augmentation.yaml,42,10,15,0.6768982229402262,0.7064439313110781,0.8399752884009932,0.7136132023227946,0.778705636743215,0.392,0.656298600311042,0.8163265306122449,0.8888888888888888,27823973,4.4697,4.6071,20.9771,118.4,True,C:\Users\knpra\OneDrive\Documents\projects\OA\models\phase6\experiments\convnext_tiny__prep__basic\best.pt
convnext_tiny__prep__clahe,preprocessing,convnext_tiny,clahe,weighted_cross_entropy,adamw,0.0001,3,50,5,False,augmentation.yaml,42,16,21,0.6696284329563813,0.7169936822482463,0.8339053692540548,0.7299415942284394,0.760593220338983,0.4259927797833935,0.6288659793814433,0.832807570977918,0.9367088607594937,27823973,4.4697,3.223,20.1863,159.2,True,C:\Users\knpra\OneDrive\Documents\projects\OA\models\phase6\experiments\convnext_tiny__prep__clahe\best.pt
convnext_tiny__prep__histeq,preprocessing,convnext_tiny,histeq,weighted_cross_entropy,adamw,0.0001,3,50,5,False,augmentation.yaml,42,15,20,0.6340872374798061,0.690167932513867,0.808156532698791,0.6917463050554488,0.7056128293241696,0.37478108581436076,0.6470588235294118,0.8167202572347267,0.9066666666666666,27823973,4.4697,7.3491,20.6608,152.6,True,C:\Users\knpra\OneDrive\Documents\projects\OA\models\phase6\experiments\convnext_tiny__prep__histeq\best.pt
densenet121__prep__basic,preprocessing,densenet121,basic,weighted_cross_entropy,adamw,0.0001,3,50,5,False,augmentation.yaml,42,12,17,0.6591276252019386,0.6877134859950086,0.8016065268112909,0.6818378032746684,0.7615384615384615,0.3087557603686636,0.629570747217806,0.8053691275167785,0.9333333333333333,6958981,2.8645,9.2318,29.5272,154.9,True,C:\Users\knpra\OneDrive\Documents\projects\OA\models\phase6\experiments\densenet121__prep__basic\best.pt
densenet121__prep__clahe,preprocessing,densenet121,clahe,weighted_cross_entropy,adamw,0.0001,3,50,5,False,augmentation.yaml,42,12,17,0.6567043618739903,0.6889167093046267,0.8176434428606224,0.6965967725896477,0.7653061224489796,0.3382663847780127,0.6109324758842444,0.8209876543209876,0.9090909090909091,6958981,2.8645,7.7961,28.441,159.0,True,C:\Users\knpra\OneDrive\Documents\projects\OA\models\phase6\experiments\densenet121__prep__clahe\best.pt
densenet121__prep__histeq,preprocessing,densenet121,histeq,weighted_cross_entropy,adamw,0.0001,3,50,5,False,augmentation.yaml,42,17,22,0.6526655896607432,0.6835696838966238,0.8075108391593958,0.6885935425874732,0.759167492566898,0.3422222222222222,0.6013071895424836,0.7818181818181819,0.9333333333333333,6958981,2.8645,7.924,31.01,200.4,True,C:\Users\knpra\OneDrive\Documents\projects\OA\models\phase6\experiments\densenet121__prep__histeq\best.pt
inception_v3__prep__basic,preprocessing,inception_v3,basic,weighted_cross_entropy,adamw,0.0001,3,50,5,False,augmentation.yaml,42,13,18,0.6510500807754442,0.6886402336282039,0.815226341417267,0.7094162898279537,0.7613168724279835,0.3700787401574803,0.5868055555555556,0.8,0.925,21795813,2.8452,6.8813,24.1919,123.2,True,C:\Users\knpra\OneDrive\Documents\projects\OA\models\phase6\experiments\inception_v3__prep__basic\best.pt
inception_v3__prep__clahe,preprocessing,inception_v3,clahe,weighted_cross_entropy,adamw,0.0001,3,50,5,False,augmentation.yaml,42,14,19,0.6680129240710824,0.6787049962074015,0.7928562524768688,0.6971932803612445,0.7623666343355965,0.3460559796437659,0.6209048361934477,0.8,0.8641975308641975,21795813,2.8452,5.9518,22.5558,123.3,True,C:\Users\knpra\OneDrive\Documents\projects\OA\models\phase6\experiments\inception_v3__prep__clahe\best.pt
inception_v3__prep__histeq,preprocessing,inception_v3,histeq,weighted_cross_entropy,adamw,0.0001,3,50,5,False,augmentation.yaml,42,14,19,0.6615508885298869,0.6911671452788145,0.7820223657803286,0.7035333483506065,0.740041928721174,0.35467980295566504,0.6353276353276354,0.8047337278106509,0.9210526315789473,21795813,2.8452,15.9576,22.4582,123.3,True,C:\Users\knpra\OneDrive\Documents\projects\OA\models\phase6\experiments\inception_v3__prep__histeq\best.pt
convnext_tiny__loss__wce,loss,convnext_tiny,basic,weighted_cross_entropy,adamw,0.0001,3,50,5,False,augmentation.yaml,42,10,15,0.6768982229402262,0.7064439313110781,0.8399752884009932,0.7136132023227946,0.778705636743215,0.392,0.656298600311042,0.8163265306122449,0.8888888888888888,27823973,4.4697,3.161,21.0019,115.1,True,C:\Users\knpra\OneDrive\Documents\projects\OA\models\phase6\experiments\convnext_tiny__loss__wce\best.pt
convnext_tiny__loss__focal,loss,convnext_tiny,basic,focal,adamw,0.0001,3,50,5,False,augmentation.yaml,42,12,17,0.6405492730210016,0.6848907705660313,0.8325893872197637,0.6996836698591549,0.7653276955602537,0.40842787682333875,0.5458089668615984,0.8074534161490683,0.8974358974358975,27823973,4.4697,4.6971,24.4546,126.2,True,C:\Users\knpra\OneDrive\Documents\projects\OA\models\phase6\experiments\convnext_tiny__loss__focal\best.pt
convnext_tiny__loss__classbal,loss,convnext_tiny,basic,class_balanced,adamw,0.0001,3,50,5,False,augmentation.yaml,42,23,28,0.672859450726979,0.710952769520701,0.8269512311755575,0.7212601705014953,0.7368421052631579,0.4444444444444444,0.688953488372093,0.8095238095238095,0.875,27823973,4.4697,3.2469,20.5424,205.0,True,C:\Users\knpra\OneDrive\Documents\projects\OA\models\phase6\experiments\convnext_tiny__loss__classbal\best.pt
densenet121__loss__wce,loss,densenet121,basic,weighted_cross_entropy,adamw,0.0001,3,50,5,False,augmentation.yaml,42,12,17,0.6591276252019386,0.6877134859950086,0.8016065268112909,0.6818378032746684,0.7615384615384615,0.3087557603686636,0.629570747217806,0.8053691275167785,0.9333333333333333,6958981,2.8645,8.1175,26.8306,148.2,True,C:\Users\knpra\OneDrive\Documents\projects\OA\models\phase6\experiments\densenet121__loss__wce\best.pt
densenet121__loss__focal,loss,densenet121,basic,focal,adamw,0.0001,3,50,5,False,augmentation.yaml,42,12,17,0.598546042003231,0.6625331380479887,0.8012541237260018,0.6859598287359205,0.6821345707656613,0.3803486529318542,0.5632798573975044,0.7755102040816326,0.9113924050632911,6958981,2.8645,22.5264,26.7126,149.2,True,C:\Users\knpra\OneDrive\Documents\projects\OA\models\phase6\experiments\densenet121__loss__focal\best.pt
densenet121__loss__classbal,loss,densenet121,basic,class_balanced,adamw,0.0001,3,50,5,False,augmentation.yaml,42,12,17,0.6583198707592892,0.6739273685114431,0.8090998286509916,0.6834430669910285,0.7642585551330798,0.3234624145785877,0.6164154103852596,0.8013029315960912,0.8641975308641975,6958981,2.8645,8.0934,27.2694,148.5,True,C:\Users\knpra\OneDrive\Documents\projects\OA\models\phase6\experiments\densenet121__loss__classbal\best.pt
