experiment_id,threshold,coverage,selective_accuracy,n_kept
convnext_tiny__M_difflr,0.0,1.0,0.6984,1240
convnext_tiny__M_difflr,0.05,1.0,0.6984,1240
convnext_tiny__M_difflr,0.1,1.0,0.6984,1240
convnext_tiny__M_difflr,0.15,1.0,0.6984,1240
convnext_tiny__M_difflr,0.2,1.0,0.6984,1240
convnext_tiny__M_difflr,0.25,1.0,0.6984,1240
convnext_tiny__M_difflr,0.3,0.9992,0.699,1239
convnext_tiny__M_difflr,0.35,0.996,0.7004,1235
convnext_tiny__M_difflr,0.4,0.9718,0.7112,1205
convnext_tiny__M_difflr,0.45,0.9242,0.7199,1146
convnext_tiny__M_difflr,0.5,0.8056,0.7528,999
convnext_tiny__M_difflr,0.55,0.6766,0.7878,839
convnext_tiny__M_difflr,0.6,0.5726,0.8254,710
convnext_tiny__M_difflr,0.65,0.4871,0.856,604
convnext_tiny__M_difflr,0.7,0.4,0.8891,496
convnext_tiny__M_difflr,0.75,0.3339,0.8961,414
convnext_tiny__M_difflr,0.8,0.2524,0.9137,313
convnext_tiny__M_difflr,0.85,0.1919,0.9244,238
convnext_tiny__M_difflr,0.9,0.125,0.9484,155
convnext_tiny__M_difflr,0.95,0.0855,0.9623,106
efficientnet_b0__M0_baseline,0.0,1.0,0.6452,1240
efficientnet_b0__M0_baseline,0.05,1.0,0.6452,1240
efficientnet_b0__M0_baseline,0.1,1.0,0.6452,1240
efficientnet_b0__M0_baseline,0.15,1.0,0.6452,1240
efficientnet_b0__M0_baseline,0.2,1.0,0.6452,1240
efficientnet_b0__M0_baseline,0.25,1.0,0.6452,1240
efficientnet_b0__M0_baseline,0.3,0.9976,0.6459,1237
efficientnet_b0__M0_baseline,0.35,0.9782,0.6554,1213
efficientnet_b0__M0_baseline,0.4,0.9282,0.6751,1151
efficientnet_b0__M0_baseline,0.45,0.8452,0.6937,1048
efficientnet_b0__M0_baseline,0.5,0.7581,0.7191,940
efficientnet_b0__M0_baseline,0.55,0.6629,0.747,822
efficientnet_b0__M0_baseline,0.6,0.5815,0.7684,721
efficientnet_b0__M0_baseline,0.65,0.4895,0.7924,607
efficientnet_b0__M0_baseline,0.7,0.4097,0.8189,508
efficientnet_b0__M0_baseline,0.75,0.3395,0.848,421
efficientnet_b0__M0_baseline,0.8,0.2581,0.8688,320
efficientnet_b0__M0_baseline,0.85,0.1758,0.8853,218
efficientnet_b0__M0_baseline,0.9,0.1065,0.9318,132
efficientnet_b0__M0_baseline,0.95,0.0395,0.9796,49
mobilenet_v2__M_corn,0.0,1.0,0.6444,1240
mobilenet_v2__M_corn,0.05,1.0,0.6444,1240
mobilenet_v2__M_corn,0.1,1.0,0.6444,1240
mobilenet_v2__M_corn,0.15,1.0,0.6444,1240
mobilenet_v2__M_corn,0.2,1.0,0.6444,1240
mobilenet_v2__M_corn,0.25,1.0,0.6444,1240
mobilenet_v2__M_corn,0.3,0.9992,0.6449,1239
mobilenet_v2__M_corn,0.35,0.9879,0.6465,1225
mobilenet_v2__M_corn,0.4,0.9315,0.6615,1155
mobilenet_v2__M_corn,0.45,0.8468,0.6905,1050
mobilenet_v2__M_corn,0.5,0.7452,0.7262,924
mobilenet_v2__M_corn,0.55,0.6476,0.7497,803
mobilenet_v2__M_corn,0.6,0.5685,0.7702,705
mobilenet_v2__M_corn,0.65,0.4815,0.794,597
mobilenet_v2__M_corn,0.7,0.3976,0.8134,493
mobilenet_v2__M_corn,0.75,0.3194,0.8409,396
mobilenet_v2__M_corn,0.8,0.2387,0.8716,296
mobilenet_v2__M_corn,0.85,0.1597,0.8939,198
mobilenet_v2__M_corn,0.9,0.0984,0.8934,122
mobilenet_v2__M_corn,0.95,0.054,0.9403,67
mobilenet_v2__M_strongaug,0.0,1.0,0.6387,1240
mobilenet_v2__M_strongaug,0.05,1.0,0.6387,1240
mobilenet_v2__M_strongaug,0.1,1.0,0.6387,1240
mobilenet_v2__M_strongaug,0.15,1.0,0.6387,1240
mobilenet_v2__M_strongaug,0.2,1.0,0.6387,1240
mobilenet_v2__M_strongaug,0.25,1.0,0.6387,1240
mobilenet_v2__M_strongaug,0.3,1.0,0.6387,1240
mobilenet_v2__M_strongaug,0.35,0.9871,0.6446,1224
mobilenet_v2__M_strongaug,0.4,0.9403,0.6612,1166
mobilenet_v2__M_strongaug,0.45,0.8419,0.6964,1044
mobilenet_v2__M_strongaug,0.5,0.7266,0.7447,901
mobilenet_v2__M_strongaug,0.55,0.6081,0.7719,754
mobilenet_v2__M_strongaug,0.6,0.5105,0.7994,633
mobilenet_v2__M_strongaug,0.65,0.4331,0.8305,537
mobilenet_v2__M_strongaug,0.7,0.3605,0.8546,447
mobilenet_v2__M_strongaug,0.75,0.3008,0.866,373
mobilenet_v2__M_strongaug,0.8,0.2274,0.8865,282
mobilenet_v2__M_strongaug,0.85,0.1532,0.8947,190
mobilenet_v2__M_strongaug,0.9,0.0968,0.9333,120
mobilenet_v2__M_strongaug,0.95,0.0524,0.9692,65
mobilenet_v2__M_classbal,0.0,1.0,0.6323,1240
mobilenet_v2__M_classbal,0.05,1.0,0.6323,1240
mobilenet_v2__M_classbal,0.1,1.0,0.6323,1240
mobilenet_v2__M_classbal,0.15,1.0,0.6323,1240
mobilenet_v2__M_classbal,0.2,1.0,0.6323,1240
mobilenet_v2__M_classbal,0.25,1.0,0.6323,1240
mobilenet_v2__M_classbal,0.3,1.0,0.6323,1240
mobilenet_v2__M_classbal,0.35,0.9871,0.6373,1224
mobilenet_v2__M_classbal,0.4,0.9282,0.656,1151
mobilenet_v2__M_classbal,0.45,0.8169,0.6881,1013
mobilenet_v2__M_classbal,0.5,0.6968,0.7188,864
mobilenet_v2__M_classbal,0.55,0.575,0.7518,713
mobilenet_v2__M_classbal,0.6,0.4774,0.7939,592
mobilenet_v2__M_classbal,0.65,0.3758,0.8219,466
mobilenet_v2__M_classbal,0.7,0.3113,0.8342,386
mobilenet_v2__M_classbal,0.75,0.2411,0.8528,299
mobilenet_v2__M_classbal,0.8,0.1823,0.8717,226
mobilenet_v2__M_classbal,0.85,0.1242,0.9091,154
mobilenet_v2__M_classbal,0.9,0.0758,0.9574,94
mobilenet_v2__M_classbal,0.95,0.0452,0.9643,56
