experiment_id,family,model,seed,ordinal,ema,preprocessing,loss,imbalance,augmentation,differential_lr,stage_a_epochs,weight_decay,max_epochs,patience,best_epoch,epochs_run,stopped_early,val_accuracy,val_macro_f1,val_weighted_f1,val_balanced_accuracy,val_qwk,val_mae,val_within1,val_KL0_F1,val_KL1_F1,val_KL2_F1,val_KL3_F1,val_KL4_F1,val_binary_oa_acc,val_binary_oa_auc,val_3class_acc,parameters,model_size_mb,gmacs,gpu_latency_ms,cpu_latency_ms,training_time_sec,checkpoint,note
mobilenet_v2__M0_baseline,matrix,mobilenet_v2,42,,False,basic,weighted_cross_entropy,weighted_ce,augmentation.yaml,False,3,0.0001,50,5,20,25,True,0.6058,0.6325,0.5932,0.6435,0.7564,0.4968,0.9006,0.7172,0.2438,0.5371,0.7414,0.9231,0.8126,0.8919,0.6971,2230277,8.728,0.3129,2.9118,8.7111,142.7,C:\Users\knpra\OneDrive\Documents\projects\OA\models\phase7\mobilenet_v2__M0_baseline\best.pt,Phase-4 recipe control
mobilenet_v2__M_difflr,matrix,mobilenet_v2,42,,False,basic,weighted_cross_entropy,weighted_ce,augmentation.yaml,True,5,5e-05,50,5,41,46,True,0.4499,0.4634,0.4485,0.4919,0.6097,0.7286,0.8433,0.5979,0.2397,0.3146,0.522,0.6429,0.7472,0.804,0.5751,2230277,8.728,0.3129,3.8025,9.0497,236.8,C:\Users\knpra\OneDrive\Documents\projects\OA\models\phase7\mobilenet_v2__M_difflr\best.pt,single dimension: difflr
mobilenet_v2__M_focal,matrix,mobilenet_v2,42,,False,basic,focal,weighted_ce,augmentation.yaml,False,3,0.0001,50,5,26,31,True,0.5412,0.6214,0.555,0.6527,0.7538,0.5202,0.9426,0.599,0.3849,0.481,0.7304,0.9114,0.8166,0.8944,0.6729,2230277,8.728,0.3129,3.6532,9.0052,169.8,C:\Users\knpra\OneDrive\Documents\projects\OA\models\phase7\mobilenet_v2__M_focal\best.pt,single dimension: focal
mobilenet_v2__M_classbal,matrix,mobilenet_v2,42,,False,basic,class_balanced,weighted_ce,augmentation.yaml,False,3,0.0001,50,5,29,34,True,0.5905,0.6459,0.6008,0.6584,0.7554,0.4935,0.9192,0.6711,0.3643,0.5557,0.7407,0.8974,0.8142,0.8912,0.7011,2230277,8.728,0.3129,2.4472,8.146,159.8,C:\Users\knpra\OneDrive\Documents\projects\OA\models\phase7\mobilenet_v2__M_classbal\best.pt,single dimension: classbal
mobilenet_v2__M_sqrtsampler,matrix,mobilenet_v2,42,,False,basic,weighted_cross_entropy,sqrt_inv_freq,augmentation.yaml,False,3,0.0001,50,5,27,32,True,0.5897,0.6419,0.5974,0.6582,0.7675,0.4871,0.9249,0.6979,0.3413,0.5111,0.7593,0.9,0.815,0.8924,0.7141,2230277,8.728,0.3129,2.3805,7.4995,166.7,C:\Users\knpra\OneDrive\Documents\projects\OA\models\phase7\mobilenet_v2__M_sqrtsampler\best.pt,single dimension: sqrtsampler
mobilenet_v2__M_clahe,matrix,mobilenet_v2,42,,False,clahe,weighted_cross_entropy,weighted_ce,augmentation.yaml,False,3,0.0001,50,5,28,33,True,0.5969,0.6454,0.6022,0.6602,0.752,0.4968,0.9095,0.6909,0.3259,0.5463,0.764,0.9,0.8005,0.8863,0.7132,2230277,8.728,0.3129,2.3968,8.8929,142.8,C:\Users\knpra\OneDrive\Documents\projects\OA\models\phase7\mobilenet_v2__M_clahe\best.pt,single dimension: clahe
mobilenet_v2__M_strongaug,matrix,mobilenet_v2,42,,False,basic,weighted_cross_entropy,weighted_ce,augmentation_phase7_strong.yaml,False,3,0.0001,50,5,34,39,True,0.6195,0.6532,0.615,0.6616,0.7769,0.4653,0.9176,0.7299,0.3167,0.5294,0.7952,0.8947,0.8174,0.8978,0.7262,2230277,8.728,0.3129,2.3039,6.6211,166.5,C:\Users\knpra\OneDrive\Documents\projects\OA\models\phase7\mobilenet_v2__M_strongaug\best.pt,single dimension: strongaug
efficientnet_b0__M0_baseline,matrix,efficientnet_b0,42,,False,basic,weighted_cross_entropy,weighted_ce,augmentation.yaml,False,3,0.0001,50,5,34,39,True,0.6252,0.6497,0.6175,0.6422,0.7652,0.4717,0.9039,0.724,0.3022,0.5654,0.7803,0.8767,0.8207,0.8988,0.7157,4013953,15.577,0.3981,3.4069,8.7878,187.7,C:\Users\knpra\OneDrive\Documents\projects\OA\models\phase7\efficientnet_b0__M0_baseline\best.pt,Phase-4 recipe control
efficientnet_b0__M_difflr,matrix,efficientnet_b0,42,,False,basic,weighted_cross_entropy,weighted_ce,augmentation.yaml,True,5,5e-05,50,5,49,50,False,0.5275,0.5612,0.5318,0.5826,0.704,0.5856,0.895,0.6549,0.304,0.4283,0.6332,0.7857,0.7884,0.854,0.6567,4013953,15.577,0.3981,8.3558,9.2959,227.4,C:\Users\knpra\OneDrive\Documents\projects\OA\models\phase7\efficientnet_b0__M_difflr\best.pt,single dimension: difflr
efficientnet_b0__M_strongaug,matrix,efficientnet_b0,42,,False,basic,weighted_cross_entropy,weighted_ce,augmentation_phase7_strong.yaml,False,3,0.0001,50,5,20,25,True,0.5905,0.639,0.5975,0.6379,0.7475,0.5032,0.9063,0.6949,0.3147,0.5276,0.7744,0.8831,0.8021,0.8838,0.7149,4013953,15.577,0.3981,3.3613,8.8978,120.5,C:\Users\knpra\OneDrive\Documents\projects\OA\models\phase7\efficientnet_b0__M_strongaug\best.pt,single dimension: strongaug
convnext_tiny__M0_baseline,matrix,convnext_tiny,42,,False,basic,weighted_cross_entropy,weighted_ce,augmentation.yaml,False,3,0.0001,50,5,10,15,True,0.6769,0.7064,0.6847,0.7136,0.84,0.3619,0.9612,0.7787,0.392,0.6563,0.8163,0.8889,0.8562,0.9349,0.7924,27823973,106.198,4.4697,3.8907,19.8991,107.4,C:\Users\knpra\OneDrive\Documents\projects\OA\models\phase7\convnext_tiny__M0_baseline\best.pt,Phase-4 recipe control
