experiment_id,class,precision,recall,f1,support
convnext_tiny__M_difflr,KL0,0.7603,0.813,0.7858,476
convnext_tiny__M_difflr,KL1,0.4023,0.4714,0.4341,227
convnext_tiny__M_difflr,KL2,0.7837,0.5854,0.6702,328
convnext_tiny__M_difflr,KL3,0.7912,0.8421,0.8159,171
convnext_tiny__M_difflr,KL4,0.9474,0.9474,0.9474,38
efficientnet_b0__M0_baseline,KL0,0.6639,0.8298,0.7376,476
efficientnet_b0__M0_baseline,KL1,0.3175,0.2643,0.2885,227
efficientnet_b0__M0_baseline,KL2,0.7373,0.5732,0.6449,328
efficientnet_b0__M0_baseline,KL3,0.7716,0.731,0.7508,171
efficientnet_b0__M0_baseline,KL4,0.8205,0.8421,0.8312,38
mobilenet_v2__M_corn,KL0,0.6462,0.8634,0.7392,476
mobilenet_v2__M_corn,KL1,0.2214,0.1278,0.162,227
mobilenet_v2__M_corn,KL2,0.7191,0.5854,0.6454,328
mobilenet_v2__M_corn,KL3,0.8084,0.7895,0.7988,171
mobilenet_v2__M_corn,KL4,0.8205,0.8421,0.8312,38
mobilenet_v2__M_strongaug,KL0,0.6738,0.7983,0.7308,476
mobilenet_v2__M_strongaug,KL1,0.308,0.3392,0.3229,227
mobilenet_v2__M_strongaug,KL2,0.7583,0.4878,0.5937,328
mobilenet_v2__M_strongaug,KL3,0.8011,0.8246,0.8127,171
mobilenet_v2__M_strongaug,KL4,0.8718,0.8947,0.8831,38
mobilenet_v2__M_classbal,KL0,0.7245,0.7017,0.7129,476
mobilenet_v2__M_classbal,KL1,0.3346,0.4009,0.3647,227
mobilenet_v2__M_classbal,KL2,0.6486,0.5854,0.6154,328
mobilenet_v2__M_classbal,KL3,0.787,0.7778,0.7824,171
mobilenet_v2__M_classbal,KL4,0.8095,0.8947,0.85,38
