experiment_id,family,seed,kd,teachers,temperature,alpha,ema,label_smoothing,mixup_alpha,max_epochs,patience,best_epoch,epochs_run,stopped_early,val_accuracy,val_macro_f1,val_qwk,val_balanced_accuracy,val_weighted_f1,val_mae,val_within1,val_KL0_F1,val_KL1_F1,val_KL2_F1,val_KL3_F1,val_KL4_F1,val_binary_oa_acc,val_binary_oa_auc,val_3class_acc,val_macro_f1_tta,parameters,model_size_mb,gmacs,gpu_latency_ms,cpu_latency_ms,training_time_sec,checkpoint,note
K0_baseline,kd,42,False,,4.0,0.0,False,0.0,0.0,50,5,34,39,True,0.6204,0.6538,0.7772,0.6621,0.6159,0.4645,0.9176,0.7299,0.3173,0.5321,0.7952,0.8947,0.8166,0.8978,0.7262,0.6433,2230277,8.728,0.3129,2.2724,7.6522,226.8,C:\Users\knpra\OneDrive\Documents\projects\OA\models\phase8\K0_baseline\best.pt,no KD (== M_strongaug)
K1_kd_cnx_t3a5,kd,42,True,convnext_tiny,3.0,0.5,False,0.0,0.0,50,5,23,28,True,0.6204,0.6676,0.7956,0.6705,0.6279,0.441,0.9386,0.7314,0.3358,0.5552,0.8065,0.9091,0.8191,0.9065,0.7447,0.6664,2230277,8.728,0.3129,2.3634,6.8739,155.2,C:\Users\knpra\OneDrive\Documents\projects\OA\models\phase8\K1_kd_cnx_t3a5\best.pt,
K2_kd_cnx_t4a7,kd,42,True,convnext_tiny,4.0,0.7,False,0.0,0.0,50,5,24,29,True,0.6236,0.6731,0.8009,0.6815,0.6329,0.4338,0.9435,0.7271,0.3443,0.5714,0.8115,0.9114,0.8191,0.9086,0.7447,0.6638,2230277,8.728,0.3129,3.3236,7.7694,140.2,C:\Users\knpra\OneDrive\Documents\projects\OA\models\phase8\K2_kd_cnx_t4a7\best.pt,
K3_kd_vgg_t4a7,kd,42,True,vgg16,4.0,0.7,False,0.0,0.0,50,5,24,29,True,0.6381,0.6697,0.7951,0.6822,0.6331,0.437,0.9257,0.7565,0.3167,0.5521,0.8,0.9231,0.8288,0.9105,0.7496,0.6696,2230277,8.728,0.3129,4.6769,7.1394,136.8,C:\Users\knpra\OneDrive\Documents\projects\OA\models\phase8\K3_kd_vgg_t4a7\best.pt,
K4_kd_ens_t4a7,kd,42,True,vgg16+convnext_tiny,4.0,0.7,False,0.0,0.0,50,5,19,24,True,0.6284,0.6649,0.7843,0.6636,0.6271,0.4499,0.9233,0.7339,0.3015,0.567,0.8153,0.9067,0.8134,0.9068,0.7367,0.6659,2230277,8.728,0.3129,3.2227,7.8159,141.2,C:\Users\knpra\OneDrive\Documents\projects\OA\models\phase8\K4_kd_ens_t4a7\best.pt,
K5_kd_ens_ema_ls,kd,42,True,vgg16+convnext_tiny,4.0,0.7,True,0.05,0.0,50,5,46,50,False,0.6309,0.6703,0.8041,0.6726,0.636,0.4273,0.9418,0.7485,0.3442,0.5554,0.8089,0.8947,0.8231,0.9152,0.7561,0.6719,2230277,8.717,0.3129,3.9473,8.797,303.6,C:\Users\knpra\OneDrive\Documents\projects\OA\models\phase8\K5_kd_ens_ema_ls\best.pt,
K6_kd_ens_long,kd,42,True,vgg16+convnext_tiny,4.0,0.8,True,0.0,0.0,70,8,42,50,True,0.6381,0.6774,0.8063,0.6789,0.642,0.4208,0.941,0.7557,0.3431,0.5624,0.817,0.9091,0.8223,0.9138,0.7609,0.6856,2230277,8.717,0.3129,3.9423,9.3444,300.8,C:\Users\knpra\OneDrive\Documents\projects\OA\models\phase8\K6_kd_ens_long\best.pt,
K7_kd_ens_mixup,kd,42,True,vgg16+convnext_tiny,4.0,0.7,True,0.0,0.2,50,5,38,43,True,0.6292,0.6739,0.795,0.6807,0.6347,0.4362,0.9362,0.7357,0.3462,0.5645,0.8117,0.9114,0.815,0.9118,0.748,0.6732,2230277,8.717,0.3129,2.8272,7.6137,234.8,C:\Users\knpra\OneDrive\Documents\projects\OA\models\phase8\K7_kd_ens_mixup\best.pt,
K6_kd_ens_long__seed123,multiseed,123,True,vgg16+convnext_tiny,4.0,0.8,True,0.0,0.0,70,8,44,52,True,0.6535,0.6895,0.8196,0.6908,0.6565,0.399,0.9475,0.7682,0.3475,0.5928,0.8179,0.9211,0.8296,0.9177,0.7706,0.6872,2230277,8.717,0.3129,2.3728,6.5881,272.6,C:\Users\knpra\OneDrive\Documents\projects\OA\models\phase8\K6_kd_ens_long__seed123\best.pt,K6_kd_ens_long @ seed 123
K6_kd_ens_long__seed3407,multiseed,3407,True,vgg16+convnext_tiny,4.0,0.8,True,0.0,0.0,70,8,45,53,True,0.6446,0.6783,0.815,0.6832,0.6462,0.4103,0.9451,0.7656,0.3286,0.5744,0.8139,0.9091,0.8231,0.9183,0.7666,0.6773,2230277,8.717,0.3129,2.5872,7.8309,267.5,C:\Users\knpra\OneDrive\Documents\projects\OA\models\phase8\K6_kd_ens_long__seed3407\best.pt,K6_kd_ens_long @ seed 3407
